Transaction_ID,Customer_ID,Transaction_Amount,Payment_Method,Customer_Type,Email,Region,Currency,Transaction_Date,High_Amount,Suspicious_Method,Unknown_Customer_Type,Is_Anomaly,Is_Fraud
TXN109442,CUST10442,18962.94,Unknown,Individual,user9442@outlook.com,UK,EUR,2024-09-06 05:00:00,False,True,False,True,False
TXN107838,CUST8838,738.95,Credit Card,VIP,user7838,India,THB,2024-11-01 06:00:00,False,False,False,False,False
TXN108311,CUST9311,53842.35,Debit Card,Business,,UK,USD,2024-08-12 07:00:00,False,False,False,False,False
TXN107658,CUST8658,17819.17,Crypto,VIP,user7658@fraudmail.com,UK,INR,2024-05-11 20:00:00,False,True,False,True,False
TXN105544,CUST6544,13950.38,Crypto,Missing,user5544@tempmail.org,UK,THB,,False,True,True,True,True
TXN100851,CUST1851,35212.14,Crypto,Unknown,user851@gmail.com,USA,INR,,False,True,True,True,True
TXN108036,CUST9036,11518.87,Debit Card,VIP,user8036,Thailand,EUR,,False,False,False,False,False
TXN102121,CUST3121,33022.73,Unknown,Individual,user2121@yahoo.com,USA,INR,,False,True,False,True,False
TXN108745,CUST9745,1213.62,Credit Card,Individual,user8745@fraudmail.com,Thailand,EUR,,False,False,False,False,False
TXN101192,CUST2192,15178.2,Net Banking,Individual,user1192@yahoo.com,USA,INR,,False,False,False,False,False
TXN101379,CUST2379,96301.74,Credit Card,Missing,user1379,India,INR,2024-02-05 18:00:00,True,False,True,True,True
TXN104741,CUST5741,8019.86,Net Banking,Missing,user4741@gmail.com,UK,GBP,,False,False,True,True,False
TXN108994,CUST9994,1782.08,Crypto,Individual,user8994@fraudmail.com,Germany,EUR,,False,True,False,True,False
TXN100481,CUST1481,17569.13,Unknown,Business,user481@yahoo.com,UK,THB,,False,True,False,True,False
TXN101529,CUST2529,783.67,Crypto,Unknown,user1529@tempmail.org,Thailand,INR,,False,True,True,True,True
TXN100091,CUST1091,36842.0,UPI,VIP,user91@outlook.com,Thailand,GBP,,False,False,False,False,False
TXN109965,CUST10965,10945.14,Unknown,Missing,user9965@gmail.com,Thailand,INR,,False,True,True,True,True
TXN103046,CUST4046,13203.87,Debit Card,Missing,user3046@tempmail.org,USA,EUR,,False,False,True,True,False
TXN107460,CUST8460,4590.31,UPI,Missing,user7460@yahoo.com,Germany,EUR,,False,False,True,True,False
TXN104964,CUST5964,23564.78,Credit Card,Individual,user4964@fraudmail.com,India,THB,2024-08-01 22:00:00,False,False,False,False,False
TXN106817,CUST7817,25311.39,Credit Card,Business,user6817@yahoo.com,India,USD,,False,False,False,False,False
TXN109033,CUST10033,53417.3,Net Banking,Missing,user9033@tempmail.org,India,EUR,,False,False,True,True,False
TXN104573,CUST5573,30835.63,Net Banking,Business,user4573,USA,USD,,False,False,False,False,False
TXN104830,CUST5830,26328.22,UPI,VIP,user4830@outlook.com,Germany,GBP,,False,False,False,False,False
TXN101121,CUST2121,147235.58,Crypto,Missing,user1121@gmail.com,Thailand,GBP,2024-02-08 00:00:00,True,True,True,True,True
