Transaction_ID,Customer_ID,Transaction_Amount,Payment_Method,Customer_Type,Email,Region,Currency,Transaction_Date
TXN109442,CUST10442,18962.94,Unknown,Individual,user9442@outlook.com,UK,EUR,2024-06-09 05:00:00
TXN107838,CUST8838,738.95,Credit Card,VIP,user7838,India,THB,2024-01-11 06:00:00
TXN108311,CUST9311,53842.35,Debit Card,Business, ,UK,USD,2024-12-08 07:00:00
TXN107658,CUST8658,17819.17,Crypto,VIP,user7658@fraudmail.com,UK,INR,2024-11-05 20:00:00
TXN105544,CUST6544,13950.38,Crypto,,user5544@tempmail.org,UK,THB,2024-09-22 20:00:00
TXN100851,CUST1851,35212.14,Crypto,Unknown,user851@gmail.com,USA,INR,2024-11-15 11:00:00
TXN108036,CUST9036,11518.87,Debit Card,VIP,user8036,Thailand,EUR,2024-11-28 05:00:00
TXN102121,CUST3121,33022.73,Unknown,Individual,user2121@yahoo.com,USA,INR,2024-11-29 07:00:00
TXN108745,CUST9745,1213.62,Credit Card,Individual,user8745@fraudmail.com,Thailand,EUR,2024-02-29 21:00:00
TXN101192,CUST2192,15178.2,Net Banking,Individual,user1192@yahoo.com,USA,INR,2024-06-30 17:00:00
TXN101379,CUST2379,96301.74,Credit Card,,user1379,India,INR,2024-05-02 18:00:00
TXN104741,CUST5741,8019.86,Net Banking,,user4741@gmail.com,UK,GBP,2024-10-13 05:00:00
TXN108994,CUST9994,1782.08,Crypto,Individual,user8994@fraudmail.com,Germany,EUR,2024-12-14 05:00:00
TXN100481,CUST1481,17569.13,Unknown,Business,user481@yahoo.com,UK,THB,2024-06-29 10:00:00
TXN101529,CUST2529,783.67,Crypto,Unknown,user1529@tempmail.org,Thailand,INR,2024-10-19 21:00:00
TXN100091,CUST1091,36842.0,UPI,VIP,user91@outlook.com,Thailand,GBP,2024-12-15 16:00:00
TXN109965,CUST10965,10945.14,Unknown,,user9965@gmail.com,Thailand,INR,2024-05-18 07:00:00
TXN103046,CUST4046,13203.87,Debit Card,,user3046@tempmail.org,USA,EUR,2024-07-25 12:00:00
TXN107460,CUST8460,4590.31,UPI,,user7460@yahoo.com,Germany,EUR,2024-10-24 18:00:00
TXN104964,CUST5964,23564.78,Credit Card,Individual,user4964@fraudmail.com,India,THB,2024-01-08 22:00:00
TXN106817,CUST7817,25311.39,Credit Card,Business,user6817@yahoo.com,India,USD,2024-06-29 15:00:00
TXN109033,CUST10033,53417.3,Net Banking,,user9033@tempmail.org,India,EUR,2024-05-31 04:00:00
TXN104573,CUST5573,30835.63,Net Banking,Business,user4573,USA,USD,2024-01-27 19:00:00
TXN104830,CUST5830,26328.22,UPI,VIP,user4830@outlook.com,Germany,GBP,2024-07-19 18:00:00
TXN101121,CUST2121,147235.58,Crypto,,user1121@gmail.com,Thailand,GBP,2024-08-02 00:00:00
TXN107232,CUST8232,7930.12,Debit Card,,user7232@yahoo.com,UK,USD,2024-02-21 00:00:00
TXN100615,CUST1615,17299.46,UPI,VIP,user615,UK,EUR,2024-08-19 21:00:00
TXN104136,CUST5136,34055.57,Unknown,Unknown,user4136@fraudmail.com,India,GBP,2024-07-20 03:00:00
TXN101482,CUST2482,24569.95,UPI,,user1482@tempmail.org,Germany,EUR,2024-03-12 08:00:00
TXN100642,CUST1642,8726.46,Credit Card,Individual,user642@yahoo.com,USA,THB,2024-02-25 11:00:00
TXN107988,CUST8988,2745.17,Net Banking, ,user7988,Thailand,INR,2024-06-16 08:00:00
TXN101572,CUST2572,10389.13,Credit Card,,user1572@yahoo.com,Thailand,EUR,2024-02-07 03:00:00
TXN107047,CUST8047,6284.57,Credit Card,VIP,user7047@tempmail.org,UK,GBP,2024-01-30 20:00:00
TXN105742,CUST6742,1074.47,Debit Card,,user5742@fraudmail.com,India,THB,2024-04-03 16:00:00
TXN109920,CUST10920,25021.89,UPI,VIP,user9920,Germany,USD,2024-07-22 11:00:00
TXN102040,CUST3040,4097.92,Unknown,Unknown,user2040@yahoo.com,India,INR,2024-12-20 09:00:00
TXN106269,CUST7269,5813.98,Credit Card,Unknown,user6269@yahoo.com,USA,EUR,2024-10-24 01:00:00
TXN104420,CUST5420,51908.73,Net Banking,Business,user4420@yahoo.com,UK,EUR,2024-06-06 21:00:00
TXN105030,CUST6030,4225.54,Unknown,Business,user5030@tempmail.org,UK,THB,2024-11-27 07:00:00
TXN101397,CUST2397,26026.87,UPI, ,user1397@outlook.com,India,EUR,2024-12-18 17:00:00
TXN106194,CUST7194,9074.39,Debit Card,,user6194,USA,GBP,2024-12-28 09:00:00
TXN105759,CUST6759,9418.85,Crypto,VIP,user5759@fraudmail.com,UK,THB,2024-09-30 15:00:00
TXN107722,CUST8722,35753.54,Debit Card,,user7722,India,INR,2024-12-30 05:00:00
TXN107628,CUST8628,19597.16,UPI,,user7628@yahoo.com,Germany,USD,2024-07-02 02:00:00
TXN107626,CUST8626,4326.59,Unknown,Individual,user7626@gmail.com,India,EUR,2024-07-12 12:00:00
TXN107828,CUST8828,1030.41,Crypto,Business,user7828@fraudmail.com,Thailand,USD,2024-07-07 17:00:00
TXN104108,CUST5108,12957.47,Net Banking,Business,user4108@outlook.com,UK,THB,2024-07-05 21:00:00
TXN106922,CUST7922,8122.91,Net Banking,Individual,user6922@outlook.com,USA,THB,2024-03-20 13:00:00
TXN100543,CUST1543,36465.13,Credit Card,Business,user543@outlook.com,Germany,THB,2024-12-01 13:00:00
TXN105551,CUST6551,7656.76,Debit Card,Individual,user5551@gmail.com,UK,INR,2024-02-11 05:00:00
TXN100403,CUST1403,3175.26,Unknown,Business,user403@outlook.com,India,INR,2024-07-29 12:00:00
TXN104376,CUST5376,12.79,Credit Card,Unknown,user4376@fraudmail.com,Germany,THB,2024-10-14 09:00:00
TXN104912,CUST5912,79215.65,Debit Card,Unknown,user4912@outlook.com,Thailand,GBP,2024-02-07 05:00:00
TXN108983,CUST9983,14274.85,Net Banking,Individual,user8983,Thailand,USD,2024-12-30 08:00:00
TXN102008,CUST3008,20429.17,Crypto,,user2008,Germany,INR,2024-03-12 20:00:00
TXN101002,CUST2002,4283.75,UPI, ,user1002@tempmail.org,USA,GBP,2024-12-14 04:00:00
TXN104563,CUST5563,14995.2,Credit Card,,,Germany,THB,2024-05-29 14:00:00
TXN104510,CUST5510,9817.16,UPI,Individual,user4510@fraudmail.com,Germany,USD,2024-05-19 10:00:00
TXN103351,CUST4351,41754.78,UPI,Business,user3351,India,THB,2024-03-08 21:00:00
TXN100682,CUST1682,13274.56,Crypto,,user682,USA,GBP,2024-11-11 10:00:00
TXN107026,CUST8026,44023.65,Crypto,Business,user7026@outlook.com,USA,EUR,2024-06-25 10:00:00
TXN104070,CUST5070,15095.61,Net Banking,Individual,user4070@outlook.com,India,USD,2024-03-07 03:00:00
TXN105126,CUST6126,11339.13,Net Banking,VIP,,Thailand,USD,2024-07-01 00:00:00
TXN107334,CUST8334,18136.36,UPI,Unknown,user7334@outlook.com,Thailand,USD,2024-08-06 02:00:00
TXN104826,CUST5826,3285.3,Credit Card,Business,user4826@outlook.com,Germany,GBP,2024-04-13 04:00:00
TXN101437,CUST2437,3840.16,UPI,Unknown,user1437@fraudmail.com,India,THB,2024-08-12 07:00:00
TXN105802,CUST6802,12657.71,Crypto,Individual,user5802@outlook.com,USA,EUR,2024-03-03 14:00:00
TXN106472,CUST7472,26398.52,Crypto,Individual,user6472@outlook.com,India,THB,2024-10-12 20:00:00
TXN109683,CUST10683,33255.17,Unknown,VIP,user9683@yahoo.com,UK,EUR,2024-08-23 11:00:00
